formula,synonym,description
Mg2P2O7,magnesium pyrophosphate,NO DESCRIPTION
Mg2Al(AlSiO5)(OH)4,amesite,"Amesite is a mineral with general formula of Mg2Al2SiO5(OH)4.
"
MgWO4,magnesium tungstate,NO DESCRIPTION
Mg(VO3)2,magnesium metavanadate,NO DESCRIPTION
MgTiO3,magnesium metatitanate,NO DESCRIPTION
MgSiO3,magnesium metasilicate  enstatite,"Enstatite is a mineral; the magnesium endmember of the pyroxene silicate mineral series enstatite (MgSiO3) – ferrosilite  (FeSiO3). The magnesium rich members of the solid solution series are common rock-forming minerals found in igneous and metamorphic rocks. The intermediate composition, (Mg,Fe)SiO3, has historically been known as hypersthene, although this name has been formally abandoned and replaced by orthopyroxene. When determined petrographically or chemically the composition is given as relative proportions of enstatite (En) and ferrosilite (Fs) (e.g., En80Fs20).
"
MgSeO4,magnesium selenate,NO DESCRIPTION
MgSeO3,magnesium selenite,NO DESCRIPTION
MgSe,magnesium selenide,"Magnesium selenide is an inorganic compound with the chemical formula MgSe. It contains magnesium and selenium in a 1:1 ratio. It belongs to the II-VI family of semiconductor compounds.
"
MgSO4,magnesium sulfate,"Magnesium sulfate or magnesium sulphate is a chemical compound, a salt with the formula MgSO4, consisting of magnesium cations Mg2+ (20.19% by mass) and sulfate anions SO2−4. It is a white crystalline solid, soluble in water but not in ethanol.
"
MgS,magnesium sulfide,"Magnesium sulfide is an inorganic compound with the formula MgS. It is a white crystalline material but often is encountered in an impure form that is brown and non-crystalline powder. It is generated industrially in the production of metallic iron.
"
MgPo,magnesium polonide,"Magnesium polonide (MgPo) is a salt of magnesium and polonium. It is a polonide, a set of very chemically stable compounds of polonium.
"
Mg(OH)2,magnesium hydroxide  milk of magnesia,"Magnesium hydroxide is an inorganic compound with the chemical formula Mg(OH)2. It occurs in nature as the mineral brucite. It is a white solid with low solubility in water (Ksp = 5.61×10−12). Magnesium hydroxide is a common component of antacids, such as milk of magnesia.
"
MgO,magnesium oxide  magnesia  periclase,"Magnesium oxide (MgO), or magnesia, is a white hygroscopic solid mineral that occurs naturally as periclase and is a source of magnesium (see also oxide). It has an empirical formula of MgO and consists of a lattice of Mg2+ ions and O2− ions held together by ionic bonding. Magnesium hydroxide forms in the presence of water (MgO + H2O → Mg(OH)2), but it can be reversed by heating it to remove moisture.
"
MgNaAl5(Si4O10)3(OH)6,montmorillonite (clay),"Montmorillonite is a very soft phyllosilicate group of minerals that form when they precipitate from water solution as microscopic crystals, known as clay. It is named after Montmorillon in France. Montmorillonite, a member of the smectite group, is a 2:1 clay, meaning that it has two tetrahedral sheets of silica sandwiching a central octahedral sheet of alumina. The particles are plate-shaped with an average diameter around 1 μm and a thickness of 0.96 nm; magnification of about 25,000 times, using an electron microscope, is required to resolve individual clay particles. Members of this group include saponite, nontronite, beidellite, and hectorite.
"
Mg(NO3)2·6H2O,magnesium nitrate hexahydrate,NO DESCRIPTION
Mg(NO3)2,magnesium nitrate,"Magnesium nitrate refers to inorganic compounds  with the formula Mg(NO3)2(H2O)x, where x = 6, 2, and 0.  All are white solids.  The anhydrous material is hygroscopic, quickly forming the hexahydrate upon standing in air. All of the salts are very soluble in both water and ethanol.
"
MoCl5,Molybdenum(V) chloride,"Molybdenum(V) chloride is the inorganic compound with the empirical formula MoCl5. This dark volatile solid is used in research to prepare other molybdenum compounds. It is moisture-sensitive and soluble in chlorinated solvents.
"
Mg(BrO)2,magnesium hypobromite,NO DESCRIPTION
Mo2Cl10,Molybdenum(V) chloride,"Molybdenum(V) chloride is the inorganic compound with the empirical formula MoCl5. This dark volatile solid is used in research to prepare other molybdenum compounds. It is moisture-sensitive and soluble in chlorinated solvents.
"
MnSO4·H2O,Manganese(II) sulfate monohydrate,"Manganese(II) sulfate usually refers to the inorganic compound with the formula MnSO4·H2O. This pale pink deliquescent solid is a commercially significant manganese(II) salt. Approximately 260,000 tonnes of manganese(II) sulfate were produced worldwide in 2005. It is the precursor to manganese metal and many other chemical compounds. Manganese-deficient soil is remediated with this salt.
"
Mo6Cl12,Molybdenum(II) chloride,"Molybdenum dichloride describes chemical compounds with the empirical formula MoCl2. At least two forms are known, and both have attracted much attention from academic researchers because of the unexpected structures seen for these compounds and the fact that they give rise to hundreds of derivatives.  The form discussed here is Mo6Cl12.  The other molybdenum(II) chloride is potassium octachlorodimolybdate.
"
MgTiO3,Magnesium titanate (page does not exist),"Other reasons this message may be displayed:
"
MgWO4,Magnesium tungstate (page does not exist),"Other reasons this message may be displayed:
"
MgZrO3,Magnesium zirconate (page does not exist),"Other reasons this message may be displayed:
"
MnBr2,Manganese(II) bromide,"Manganese(II) bromide is the chemical compound composed of manganese and bromine with the formula MnBr2.
"
MnCl2,Manganese(II) chloride,"Manganese(II) chloride is the dichloride salt of manganese, MnCl2. This inorganic chemical exists in the anhydrous form, as well as the dihydrate (MnCl2·2H2O) and tetrahydrate (MnCl2·4H2O), with the tetrahydrate being the most common form. Like many Mn(II) species, these salts are pink, with the paleness of the color being characteristic of transition metal complexes with high spin d5 configurations.
"
Mn(OH)2,Manganese(II) hydroxide,"Manganese(II) hydroxide is the inorganic compound with the formula Mn(OH)2. It is a white solid although samples darken quickly upon exposure to air owing to oxidation. It is poorly soluble in water.
"
Mn3(PO4)2,Manganese(II) phosphate,"Manganese(II) phosphate is an inorganic compound with the chemical formula Mn3(PO4)2.  It has industrial importance as a constituent of manganese based phosphate conversion coatings.
"
MnSO4,Manganese(II) sulfate,"Manganese(II) sulfate usually refers to the inorganic compound with the formula MnSO4·H2O. This pale pink deliquescent solid is a commercially significant manganese(II) salt. Approximately 260,000 tonnes of manganese(II) sulfate were produced worldwide in 2005. It is the precursor to manganese metal and many other chemical compounds. Manganese-deficient soil is remediated with this salt.
"
MnCl3,Manganese(III) chloride,"Manganese(III) chloride is the hypothetical inorganic compound with the formula MnCl3.
"
Mn2O3,Manganese(III) oxide,"Manganese(III) oxide is a chemical compound with the formula Mn2O3.  It occurs in nature as the mineral bixbyite (recently changed to bixbyite-(Mn)) and is used in the production of ferrites and thermistors.
"
MnF4,Manganese(IV) fluoride,"Manganese tetrafluoride, MnF4, is the highest fluoride of manganese. It is a powerful oxidizing agent and is used as a means of purifying elemental fluorine.
"
MgSO4,Magnesium sulfate,"Magnesium sulfate or magnesium sulphate is a chemical compound, a salt with the formula MgSO4, consisting of magnesium cations Mg2+ (20.19% by mass) and sulfate anions SO2−4. It is a white crystalline solid, soluble in water but not in ethanol.
"
MnO2,Manganese(IV) oxide,"Manganese dioxide is the inorganic compound with the formula MnO2. This blackish or brown solid occurs naturally as the mineral pyrolusite, which is the main ore of manganese and a component of manganese nodules. The principal use for MnO2 is for dry-cell batteries, such as the alkaline battery and the zinc–carbon battery. MnO2 is also used as a pigment and as a precursor to other manganese compounds, such as KMnO4.  It is used as a reagent in organic synthesis, for example, for the oxidation of allylic alcohols. MnO2 has an α-polymorph that can incorporate a variety of atoms (as well as water molecules) in the ""tunnels"" or ""channels"" between the manganese oxide octahedra. There is considerable interest in α-MnO2 as a possible cathode for lithium-ion batteries.
"
MnO2,Manganese dioxide,"Manganese dioxide is the inorganic compound with the formula MnO2. This blackish or brown solid occurs naturally as the mineral pyrolusite, which is the main ore of manganese and a component of manganese nodules. The principal use for MnO2 is for dry-cell batteries, such as the alkaline battery and the zinc–carbon battery. MnO2 is also used as a pigment and as a precursor to other manganese compounds, such as KMnO4.  It is used as a reagent in organic synthesis, for example, for the oxidation of allylic alcohols. MnO2 has an α-polymorph that can incorporate a variety of atoms (as well as water molecules) in the ""tunnels"" or ""channels"" between the manganese oxide octahedra. There is considerable interest in α-MnO2 as a possible cathode for lithium-ion batteries.
"
Mn2O7,Manganese heptoxide,"Manganese(VII) oxide (manganese heptoxide) is an inorganic compound with the formula Mn2O7. Manganese heptoxide is a volatile liquid with an oily consistency. It is a highly reactive and powerful oxidizer that reacts explosively with nearly any organic compound. It was first described in 1860. It is the acid anhydride of permanganic acid.
"
MoO3,Molybdenum trioxide,"Molybdenum trioxide describes a family of inorganic compounds with the formula MoO3(H2O)n where n = 0, 1, 2.  The anhydrous compound is produced on the largest scale of any molybdenum compound since it is the main intermediate produced when molybdenum ores are purified.  The anhydrous oxide is a precursor to molybdenum metal, an important alloying agent.  It is also an important industrial catalyst. It is a yellow solid, although impure samples can appear blue or green.
"
MoCl4,Molybdenum tetrachloride,"Molybdenum tetrachloride is the inorganic compound with the empirical formula MoCl4.  The material exists as two polymorphs, both being dark-colored paramagnetic solids. These compounds are mainly of interest as precursors to other molybdenum complexes.
"
MoF6,Molybdenum hexafluoride,"Molybdenum hexafluoride, also molybdenum(VI) fluoride, is the inorganic compound with the formula MoF6. It is the highest fluoride of molybdenum. It is a colourless solid and melts just below room temperature and boils in 34 °C. It is one of the seventeen known binary hexafluorides.
"
Mo(CO)6,Molybdenum hexacarbonyl,"Molybdenum hexacarbonyl (also called molybdenum carbonyl) is the chemical compound with the formula Mo(CO)6. This colorless solid, like its chromium, tungsten, and seaborgium analogues, is noteworthy as a volatile, air-stable derivative of a metal in its zero oxidation state.
"
MoS2,Molybdenum disulfide,"Molybdenum disulfide (or moly) is an inorganic compound composed of molybdenum and sulfur. Its chemical formula is MoS2.
"
MoF5,Molybdenum(V) fluoride,"Molybdenum(V) fluoride is an inorganic compound with the formula MoF5. It is a hygroscopic yellow solid. Like most pentafluorides, it exists as a tetramer.
"
MoF4,Molybdenum(IV) fluoride,"Molybdenum(IV) fluoride is a binary compound of molybdenum and fluorine with the chemical formula MoF4.
"
MoCl4,Molybdenum(IV) chloride,"Molybdenum tetrachloride is the inorganic compound with the empirical formula MoCl4.  The material exists as two polymorphs, both being dark-colored paramagnetic solids. These compounds are mainly of interest as precursors to other molybdenum complexes.
"
MoCl3,Molybdenum(III) chloride,"Molybdenum(III) chloride is the inorganic compound with the formula MoCl3. It forms purple crystals.
"
MoBr2,Molybdenum(II) bromide,"Molybdenum(II) bromide is an inorganic compound with the formula MoBr2. It forms yellow-red crystals.
"
Mn3O4,"Manganese(II,III) oxide","Manganese(II,III) oxide is the chemical compound with formula Mn3O4. Manganese is present in two oxidation states +2 and +3 and the formula is sometimes written as MnO·Mn2O3. Mn3O4 is found in nature as the mineral hausmannite.
"
MgSiO3,Magnesium silicate,"Talc, or talcum, is a clay mineral composed of hydrated magnesium silicate, with the chemical formula Mg3Si4O10(OH)2. Talc in powdered form, often combined with corn starch, is used as baby powder. This mineral is used as a thickening agent and lubricant. It is an ingredient in ceramics, paints, and roofing material. It is a main ingredient in many cosmetics. It occurs as foliated to fibrous masses, and in an exceptionally rare crystal form. It has a perfect basal cleavage and an uneven flat fracture, and it is foliated with a two-dimensional platy form.
"
MoBr3,Molybdenum(III) bromide,"Molybdenum(III) bromide is the inorganic compound with the formula MoBr3.  It is a black solid that is insoluble in most solvents but dissolves in donor solvents such as pyridine.
"
MgO2,Magnesium peroxide,"Magnesium peroxide (MgO2) is an odorless fine powder peroxide with a white to off-white color. It is similar to calcium peroxide because magnesium peroxide also releases oxygen by breaking down at a controlled rate with water. Commercially, magnesium peroxide often exists as a compound of magnesium peroxide and magnesium hydroxide.
"
MgBr2,Magnesium bromide,"Magnesium bromide is a chemical compound of magnesium and bromine, with the chemical formula MgBr2. It is white and deliquescent crystalline solid. It is often used as a mild sedative and as an anticonvulsant for treatment of nervous disorders. It is water-soluble and somewhat soluble in alcohol. It can be found naturally in small amounts in some minerals such as: bischofite and carnallite, and in sea water, such as that of the Dead Sea.
"
MgCO3,Magnesium carbonate,"Magnesium carbonate, MgCO3 (archaic name magnesia alba), is an inorganic salt that is a colourless or white solid. Several hydrated and basic forms of magnesium carbonate also exist as minerals.
"
MgCl2,Magnesium chloride,"Magnesium chloride is an inorganic compound with the formula MgCl2. It forms hydrates MgCl2·nH2O, where n can range from 1 to 12. These salts are colorless or white solids that are highly soluble in water. These compounds and their solutions, both of which occur in nature, have a variety of practical uses. Anhydrous magnesium chloride is the principal precursor to magnesium metal, which is produced on a large scale. Hydrated magnesium chloride is the form most readily available.
"
Mg(ClO4)2,Magnesium perchlorate,"Magnesium perchlorate is a powerful oxidizing agent, with the formula Mg(ClO4)2. The salt is also a superior drying agent for gas analysis.
"
Mg3(PO4)2,Magnesium phosphate,"Magnesium phosphate is a general term for salts of magnesium  and phosphate appearing in several forms and several hydrates:
"
MgSO4,Magnesium sulfate,"Magnesium sulfate or magnesium sulphate is a chemical compound, a salt with the formula MgSO4, consisting of magnesium cations Mg2+ (20.19% by mass) and sulfate anions SO2−4. It is a white crystalline solid, soluble in water but not in ethanol.
"
Mg(HCO3)2,Magnesium bicarbonate,"Magnesium bicarbonate or magnesium hydrogencarbonate, Mg(HCO3)2, is the bicarbonate salt of magnesium. It can be formed through the reaction of dilute solutions of carbonic acid (such as seltzer water) and magnesium hydroxide (milk of magnesia).
"
MgB6,Magnesium boride,"Magnesium diboride is the inorganic compound with the formula MgB2. It is a dark gray, water-insoluble solid. The compound has attracted attention because it becomes superconducting at 39 K (−234 °C). In terms of its composition, MgB2 differs strikingly from most low-temperature superconductors, which feature mainly transition metals. Its superconducting mechanism is primarily described by BCS theory.
"
MgBr2,Magnesium bromide,"Magnesium bromide is a chemical compound of magnesium and bromine, with the chemical formula MgBr2. It is white and deliquescent crystalline solid. It is often used as a mild sedative and as an anticonvulsant for treatment of nervous disorders. It is water-soluble and somewhat soluble in alcohol. It can be found naturally in small amounts in some minerals such as: bischofite and carnallite, and in sea water, such as that of the Dead Sea.
"
Mg3(PO4)2,Magnesium phosphate,"Magnesium phosphate is a general term for salts of magnesium  and phosphate appearing in several forms and several hydrates:
"
MgCO3,Magnesium carbonate,"Magnesium carbonate, MgCO3 (archaic name magnesia alba), is an inorganic salt that is a colourless or white solid. Several hydrated and basic forms of magnesium carbonate also exist as minerals.
"
MgCl2,Magnesium chloride,"Magnesium chloride is an inorganic compound with the formula MgCl2. It forms hydrates MgCl2·nH2O, where n can range from 1 to 12. These salts are colorless or white solids that are highly soluble in water. These compounds and their solutions, both of which occur in nature, have a variety of practical uses. Anhydrous magnesium chloride is the principal precursor to magnesium metal, which is produced on a large scale. Hydrated magnesium chloride is the form most readily available.
"
MgCN2,Magnesium cyanamide (page does not exist),"Other reasons this message may be displayed:
"
MgC2,Magnesium carbide (page does not exist),"Other reasons this message may be displayed:
"
MgPO3F,Magnesium fluorophosphate (page does not exist),"Other reasons this message may be displayed:
"
Mg(HOCH2(CHOH)4CO2)2,Magnesium gluconate,"Magnesium gluconate is a compound with formula MgC12H22O14. It is the magnesium salt of gluconic acid.
"
MgC2O4,Magnesium oxalate,"Magnesium oxalate is an organic compound comprising a magnesium cation with a 2+ charge bonded to an oxalate anion.  It has the chemical formula MgC2O4.  Magnesium oxalate is a white solid that comes in two forms: an anhydrous form and a dihydrate form where two water molecules are complexed with the structure.  Both forms are practically insoluble in water and are insoluble in organic solutions.
"
Mg(NO3)2,Magnesium nitrate,"Magnesium nitrate refers to inorganic compounds  with the formula Mg(NO3)2(H2O)x, where x = 6, 2, and 0.  All are white solids.  The anhydrous material is hygroscopic, quickly forming the hexahydrate upon standing in air. All of the salts are very soluble in both water and ethanol.
"
MgH2,Magnesium hydride,"Magnesium hydride is the chemical compound with the molecular formula MgH2. It contains 7.66% by weight of hydrogen and has been studied as a potential hydrogen storage medium.
"
MgHPO4,Dimagnesium phosphate,"Dimagnesium phosphate is a compound with formula MgHPO4. It is a Mg2+ salt of monohydrogen phosphate.  The trihydrate is well known, occurring as a mineral.
"
Mg(OH)2,Magnesium hydroxide,"Magnesium hydroxide is an inorganic compound with the chemical formula Mg(OH)2. It occurs in nature as the mineral brucite. It is a white solid with low solubility in water (Ksp = 5.61×10−12). Magnesium hydroxide is a common component of antacids, such as milk of magnesia.
"
Mg(OCl)2,Magnesium hypochlorite (page does not exist),"Other reasons this message may be displayed:
"
MgF2,Magnesium fluoride,"Magnesium fluoride is an ionically bonded inorganic compound with the formula MgF2. The compound is a white crystalline salt and is transparent over a wide range of wavelengths, with commercial uses in optics that are also used in space telescopes. It occurs naturally as the rare mineral sellaite.
"
MgI2,Magnesium iodide,"Magnesium iodide is an inorganic compound with the chemical formula MgI2. It forms various hydrates MgI2·xH2O. Magnesium iodide is a salt of magnesium and hydrogen iodide. These salts are typical ionic halides, being highly soluble in water.
"
MgMoO4,Magnesium molybdate (page does not exist),"Other reasons this message may be displayed:
"
Nd(CH3COO)3,Neodymium acetate,"Neodymium(III) acetate is an inorganic salt composed of a neodymium atom trication and three acetate groups as anions where neodymium exhibits the +3 oxidation state. It has a chemical formula of Nd(CH3COO)3 although it can be informally referred to as NdAc because Ac is an informal symbol for acetate. It commonly occurs as a light purple powder.
"
NO FORMULA,Molybdenum(IV) carbide (page does not exist),"Other reasons this message may be displayed:
"
NdCl3,Neodymium(III) chloride," Neodymium(III) chloride or neodymium trichloride is a chemical compound of neodymium and chlorine with the formula NdCl3.  This anhydrous compound is a mauve-colored solid that rapidly absorbs water on exposure to air to form a purple-colored hexahydrate, NdCl3·6H2O. Neodymium(III) chloride is produced from minerals monazite and bastnäsite using a complex multistage extraction process. The chloride has several important applications as an intermediate chemical for production of neodymium metal and neodymium-based lasers and optical fibers. Other applications include a catalyst in organic synthesis and in decomposition of waste water contamination, corrosion protection of aluminium and its alloys, and fluorescent labeling of organic molecules (DNA).
"
NaHSO3,Sodium bisulfite,"Sodium bisulfite (or sodium bisulphite, sodium hydrogen sulfite) is a chemical mixture with the approximate chemical formula NaHSO3. Sodium bisulfite in fact is not a real compound, but a mixture of salts that dissolve in water to give solutions composed of sodium and bisulfite ions.  It appears in form of white or yellowish-white crystals with an odor of sulfur dioxide. Regardless of its ill-defined nature, sodium bisulfite is used in many different industries such as a food additive with E number E222 in the food industry, a reducing agent in the cosmetic industry, and a decomposer of residual hypochlorite used in the bleaching industry.
"
Nd2Fe14B,NdFeB,"A neodymium magnet (also known as NdFeB, NIB or Neo magnet) is a permanent magnet made from an alloy of neodymium, iron, and boron to form the Nd2Fe14B tetragonal crystalline structure.  They are the most widely used type of rare-earth magnet.
"
NO FORMULA,Neodymium arsenate,"Neodymium arsenate, also known as neodymium(III) arsenate, is the arsenate of neodymium with the chemical formula of NdAsO4. In this compound, neodymium exhibits the +3 oxidation state. It has good thermal stability, and its pKsp,c is 21.86±0.11.
"
NaHSO4,Sodium bisulfate,"Sodium bisulfate, also known as sodium hydrogen sulfate,[a] is the sodium salt of the bisulfate anion, with the molecular formula NaHSO4. Sodium bisulfate is an acid salt formed by partial neutralization of sulfuric acid by an equivalent of sodium base, typically in the form of either sodium hydroxide (lye) or sodium chloride (table salt). It is a dry granular product that can be safely shipped and stored. The anhydrous form is hygroscopic. Solutions of sodium bisulfate are acidic, with a 1M solution having a pH of slightly below 1.
"
NdBr2,Neodymium(II) bromide,"Neodymium(II) bromide is an inorganic compound of neodymium and bromide.
"
NdCl2,Neodymium(II) chloride," Neodymium(II) chloride or neodymium dichloride is a chemical compound of neodymium and chlorine with the formula NdCl2.
"
NO FORMULA,Germanium(II) oxide,"Germanium monoxide (chemical formula GeO) is a chemical compound of germanium and oxygen. It can be prepared as a yellow sublimate at 1000 °C by reacting GeO2 with Ge metal. The yellow sublimate turns brown on heating at 650 °C. GeO is not well characterised. It is amphoteric dissolving in acids to form germanium(II) salts and in alkali to form ""trihydroxogermanates"" or ""germanites"" containing the Ge(OH)3− ion.
"
Na2B4O7,Sodium borate,"Sodium borate is a generic name for any salt of sodium with an anion consisting of boron and oxygen, and possibly hydrogen, or any hydrate thereof. It can be seen as a hydrated sodium salt of the appropriate boroxy acid, although the latter may not be a stable compound.
"
NO FORMULA,Sodium chloride,"Sodium chloride /ˌsoʊdiəm ˈklɔːraɪd/, commonly known as table salt, is an ionic compound with the chemical formula NaCl, representing a 1:1 ratio of sodium and chloride ions. Sodium chloride is the salt most responsible for the salinity of seawater and of the extracellular fluid of many multicellular organisms. In its edible form, it is commonly used as a condiment and food preservative. Large quantities of sodium chloride are used in many industrial processes, and it is a major source of sodium and chlorine compounds used as feedstocks for further chemical syntheses. Another major application of sodium chloride is deicing of roadways in sub-freezing weather.
"
NO FORMULA,Magnesium oxide,"Magnesium oxide (MgO), or magnesia, is a white hygroscopic solid mineral that occurs naturally as periclase and is a source of magnesium (see also oxide). It has an empirical formula of MgO and consists of a lattice of Mg2+ ions and O2− ions held together by ionic bonding. Magnesium hydroxide forms in the presence of water (MgO + H2O → Mg(OH)2), but it can be reversed by heating it to remove moisture.
"
NO FORMULA,Copper(II) borate,"Copper(II) borate is an inorganic compound with the formula Cu3(B O3)2. It has previously studied due to its photocatalytic properties.
"
NO FORMULA,Magnesium sulfide,"Magnesium sulfide is an inorganic compound with the formula MgS. It is a white crystalline material but often is encountered in an impure form that is brown and non-crystalline powder. It is generated industrially in the production of metallic iron.
"
NO FORMULA,Manganese(II) oxide,"Manganese(II) oxide  is an inorganic compound with chemical formula MnO. It forms green crystals.  The compound is produced on a large scale as a component of fertilizers and food additives.
"
NdBr3,Neodymium(III) bromide,"Neodymium(III) bromide is an inorganic salt of bromine and neodymium the formula NdBr3. The anhydrous compound is an off-white to pale green solid at room temperature, with an orthorhombic PuBr3-type crystal structure. The material is hygroscopic and forms a hexahydrate in water (NdBr3· 6H2O), similar to the related neodymium(III) chloride.
"
NO FORMULA,Copper(I) fluoride,"Copper(I) fluoride or cuprous fluoride is an inorganic compound with the chemical formula CuF. Its existence is uncertain. It was reported in 1933 to have a sphalerite-type crystal structure. Modern textbooks state that CuF is not known, since fluorine is so electronegative that it will always oxidise copper to its +2 oxidation state. Complexes of CuF such as [(Ph3P)3CuF] are, however, known and well characterised.
"
NaClO3,Sodium chlorate,"Sodium chlorate is an inorganic compound with the chemical formula NaClO3. It is a white crystalline powder that is readily soluble in water. It is hygroscopic. It decomposes above 300 °C to release oxygen and leaves sodium chloride. Several hundred million tons are produced annually, mainly for applications in bleaching pulp to produce high brightness paper.
"
Na2CO3,Sodium carbonate,"Sodium carbonate (also known as washing soda, soda ash and soda crystals) is the inorganic compound with the formula Na2CO3 and its various hydrates. All forms are white, odourless, water-soluble salts that yield alkaline solutions in water. Historically, it was extracted from the ashes of plants grown in sodium-rich soils, and because the ashes of these sodium-rich plants were noticeably different from ashes of wood (once used to produce potash), sodium carbonate became known as ""soda ash"". It is produced in large quantities from sodium chloride and limestone by the Solvay process, as well as by carbonating sodium hydroxide which is made using the Chlor-alkali process.
"
Na2C2,Sodium carbide,"In chemistry, a carbide usually describes a compound composed of carbon and a metal.  In metallurgy, carbiding or carburizing is the process for producing carbide coatings on a metal piece.
"
NaBrO2,Sodium bromite,"Sodium bromite is a sodium salt of bromous acid. Its trihydrate, NaBrO2·3H2O, has been isolated in crystal form. It is used by the textile refining industry as a desizing agent for oxidative starch removal.
"
NO FORMULA,Mercury selenide,"Mercury selenide (HgSe; sometimes mercury(II) selenide) is a chemical compound of mercury and selenium. It is a grey-black crystalline solid semi-metal with a sphalerite structure. The lattice constant is 0.608 nm.  
"
NO FORMULA,Sodium bromide,"Sodium bromide is an inorganic compound with the formula NaBr.  It is a high-melting white, crystalline solid that resembles sodium chloride. It is a widely used source of the bromide ion and has many applications.
"
NO FORMULA,Mercury(II) sulfide,"Mercury sulfide, or mercury(II) sulfide is a chemical compound composed of the chemical elements mercury and sulfur. It is represented by the chemical formula HgS. It is virtually insoluble in water.
"
NO FORMULA,Mercury telluride,"Mercury telluride (HgTe) is a binary chemical compound of mercury and tellurium. It is a semi-metal related to the II-VI group of semiconductor materials. Alternative names are mercuric telluride and mercury(II) telluride.
"
NaBrO3,Sodium bromate,"Sodium bromate, the inorganic compound with the chemical formula of NaBrO3, is the sodium salt of bromic acid. It is a strong oxidant.
"
NaBH4,Sodium borohydride,"Sodium borohydride, also known as sodium tetrahydridoborate and sodium tetrahydroborate, is an inorganic compound with the formula NaBH4 (sometimes written as Na[BH4]). It is a white crystalline solid, usually encountered as an aqueous basic solution. Sodium borohydride is a reducing agent that finds application in papermaking and dye industries. It is also used as a reagent in organic synthesis.
"
NO FORMULA,Copper(I) chloride,"Copper(I) chloride, commonly called cuprous chloride, is the lower chloride of copper, with the formula CuCl. The substance is a white solid sparingly soluble in water, but very soluble in concentrated hydrochloric acid. Impure samples appear green due to the presence of copper(II) chloride (CuCl2).
"
NO FORMULA,Magnesium antimonide (page does not exist),"Other reasons this message may be displayed:
"
NdF3,Neodymium(III) fluoride,"Neodymium(III) fluoride is an inorganic chemical compound of neodymium and fluorine with the formula NdF3. It is a purplish pink colored solid with a high melting point.
"
NdI2,Neodymium(II) iodide,"Neodymium(II) iodide or neodymium diiodide is an inorganic salt of iodine and neodymium the formula NdI2. Neodymium uses the +2 oxidation state in the compound.
"
Na2O,Sodium oxide,"Sodium oxide is a chemical compound with the formula Na2O. It is used in ceramics and glasses. It is a white solid but the compound is rarely encountered. Instead ""sodium oxide"" is used to describe components of various materials such as glasses and fertilizers which contain oxides that include sodium and other elements.
"
NO FORMULA,Magnesium oxide,"Magnesium oxide (MgO), or magnesia, is a white hygroscopic solid mineral that occurs naturally as periclase and is a source of magnesium (see also oxide). It has an empirical formula of MgO and consists of a lattice of Mg2+ ions and O2− ions held together by ionic bonding. Magnesium hydroxide forms in the presence of water (MgO + H2O → Mg(OH)2), but it can be reversed by heating it to remove moisture.
"
NO FORMULA,Sodium hypochlorite,"Sodium hypochlorite is an alkaline inorganic chemical compound with the formula NaOCl (also written as NaClO). It is commonly known in a dilute aqueous solution as bleach or chlorine bleach. It is the sodium salt of hypochlorous acid, consisting of sodium cations (Na+) and hypochlorite anions (−OCl, also written as OCl− and ClO−).
"
NO FORMULA,Lead(II) oxide,"Lead(II) oxide, also called lead monoxide, is the inorganic compound with the molecular formula PbO. PbO occurs in two polymorphs: litharge having a tetragonal crystal structure, and massicot having an orthorhombic crystal structure. Modern applications for PbO are mostly in lead-based industrial glass and industrial ceramics, including computer components. It is an amphoteric oxide.
"
NaClO4,Sodium perchlorate,"Sodium perchlorate is an inorganic compound with the chemical formula NaClO4. It consists of sodium cations Na+ and perchlorate anions ClO−4. It is a white crystalline, hygroscopic solid that is highly soluble in water and ethanol. It is usually encountered as sodium perchlorate monohydrate NaClO4·H2O. The compound is noteworthy as the most water-soluble of the common perchlorate salts.
"
NO FORMULA,Iron(II) oxide,"Iron(II) oxide or ferrous oxide is the inorganic compound with the formula FeO.  Its mineral form is known as wüstite. One of several iron oxides, it is a black-colored powder that is sometimes confused with rust, the latter of which consists of hydrated iron(III) oxide (ferric oxide). Iron(II) oxide also refers to a family of related non-stoichiometric compounds, which are typically iron deficient with compositions ranging from Fe0.84O to Fe0.95O.
"
NO FORMULA,Thallium(I) chloride,"Thallium(I) chloride, also known as thallous chloride, is a chemical compound with the formula TlCl. This colourless salt is an intermediate in the isolation of thallium from its ores.  Typically, an acidic solution of thallium(I) sulfate is treated with hydrochloric acid to precipitate insoluble thallium(I) chloride. This solid crystallizes in the caesium chloride motif.
"
NO FORMULA,Silicon carbide,"Silicon carbide (SiC), also known as carborundum (/ˌkɑːrbəˈrʌndəm/), is a hard chemical compound containing silicon and carbon. A semiconductor, it occurs in nature as the extremely rare mineral moissanite, but has been mass-produced as a powder and crystal since 1893 for use as an abrasive. Grains of silicon carbide can be bonded together by sintering to form very hard ceramics that are widely used in applications requiring high endurance, such as car brakes, car clutches and ceramic plates in bulletproof vests. Large single crystals of silicon carbide can be grown by the Lely method and they can be cut into gems known as synthetic moissanite.
"
NO FORMULA,Silicon monoxide,"Silicon monoxide is the chemical compound with the formula SiO where silicon is present in the oxidation state +2. In the vapour phase, it is a diatomic molecule. 
It has been detected in stellar objects and has been described as the most common oxide of silicon in the universe.
"
NO FORMULA,Silver(I) fluoride,"Silver(I) bromide
Silver(I) iodide
Silver(I) astatide
"
